Dates,03-12-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
2 Hybrid,0,130.2,R8.4,7.5,3570,L54.5,2070,L2908,6.6,134.4,173.1,L10.0,14.9,R13.0,R7.3,1.5,10.0
2 Hybrid,1,134.2,R10.8,3.1,2385,L37.8,1885,L1461,2.5,118.5,178.0,R7.7,6.4,R13.3,R10.2,1.3,4.3
2 Hybrid,2,132.7,R9.1,11.4,3261,L53.9,1920,L2635,13.2,164.4,189.5,L18.1,24.3,R14.7,R7.7,2.0,15.1
2 Hybrid,3,99.6,R9.7,-0.4,2453,L41.9,1827,L1637,0.0,0.7,120.9,R0.1,0.0,R17.5,R7.8,1.3,-0.4
2 Hybrid,4,75.3,R6.0,4.1,4060,R72.5,-1219,R3873,0.4,20.3,64.3,R2.9,4.2,R17.6,R3.8,1.4,5.4
2 Hybrid,5,130.3,R9.3,9.4,3596,L54.8,2071,L2940,9.5,147.5,177.8,L13.2,19.7,R15.7,R7.7,1.9,12.5
,Average,117.0,R8.9,5.8,3221,L28.4,1426,L1285,5.3,97.6,150.6,L5.1,11.6,R15.3,R7.4,1.6,7.8
,Deviation,9.9,1.5,4.0,613,45.6,1186,2378.9,4.4,57.9,40.6,9.2,8.7,1.8,1.9,0.3,5.2
4 Iron,0,120.7,R2.6,13.4,3323,L50.9,2095,L2579,14.2,152.0,174.3,L30.6,27.1,R16.0,L0.7,0.3,18.1
4 Iron,1,117.4,R8.6,17.9,3656,L29.1,3194,L1778,26.1,171.5,181.5,L9.8,39.7,R17.7,R6.3,2.4,23.5
4 Iron,2,129.1,R3.4,14.3,3495,L37.8,2761,L2142,22.4,184.7,198.7,L33.9,34.9,R15.5,R0.4,1.4,19.0
4 Iron,3,127.9,R6.5,17.2,3638,L20.0,3418,L1247,32.4,196.0,204.1,L9.5,42.8,R15.0,R4.4,2.1,22.7
