Dates,03-17-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
2 Hybrid,0,138.0,R7.3,11.9,3779,L15.4,3643,L1006,27.6,211.6,222.3,L0.6,38.7,R11.1,R6.3,-1.7,16.8
2 Hybrid,1,117.0,R15.0,18.4,2191,L17.3,2092,L650,26.3,182.6,195.9,R25.1,37.9,R16.0,R14.7,1.4,24.4
2 Hybrid,2,138.6,R2.7,11.3,2893,L26.7,2585,L1300,22.0,210.1,226.7,L27.4,32.9,R10.3,R0.8,0.4,15.5
2 Hybrid,3,134.6,R3.3,12.0,2938,L3.4,2933,L171,25.7,212.9,226.2,R6.2,36.4,R5.1,R2.9,-1.4,16.8
2 Hybrid,4,130.5,R5.1,10.7,2968,L17.8,2826,L908,19.4,195.5,213.2,L6.6,31.3,R6.5,R4.7,-1.8,15.1
2 Hybrid,5,126.4,R7.0,15.1,2370,L33.1,1985,L1294,22.3,189.8,206.8,L14.3,33.5,R9.4,R6.4,-0.1,20.5
,Average,130.8,R6.7,13.2,2857,L18.9,2677,L888,23.9,200.4,215.2,L2.9,35.1,R9.7,R6.0,-0.5,18.2
,Deviation,3.3,4.1,2.7,508,9.3,555,391.5,2.6,10.7,10.2,16.4,2.7,3.5,4.4,1.2,3.3
4 Iron,0,101.6,R9.8,20.0,2396,R6.0,2383,R249,22.1,149.7,162.6,R28.1,37.2,R12.9,R9.8,2.5,26.0
4 Iron,1,123.8,R2.9,16.4,3690,L16.7,3534,L1060,29.2,188.0,197.1,L14.3,41.1,R10.4,R1.1,1.1,21.9
4 Iron,2,123.4,R6.2,19.1,3329,L11.8,3259,L679,34.4,192.1,199.7,R1.9,44.0,R11.5,R4.8,2.1,25.2
4 Iron,3,122.0,R9.6,20.4,3133,L0.2,3133,L10,36.2,191.8,199.1,R29.0,45.0,R9.5,R9.6,2.3,26.8
4 Iron,4,121.3,R3.5,16.6,3224,L17.9,3068,L991,27.4,184.9,195.8,L12.5,39.5,R12.6,R1.2,0.7,22.3
4 Iron,5,116.5,R13.3,21.8,2641,R7.8,2617,R358,34.3,183.9,192.1,R48.2,44.1,R11.0,R13.9,2.2,28.6
4 Iron,6,119.9,R10.7,20.9,3416,R0.1,3416,R6,36.3,185.9,192.2,R31.6,45.7,R10.6,R10.9,2.2,27.5
4 Iron,7,127.6,R6.9,18.4,3626,R4.2,3617,R265,36.5,199.2,205.7,R28.5,45.1,R4.7,R7.4,0.9,24.6
4 Iron,8,120.6,R6.2,15.3,3721,R12.4,3634,R798,25.8,181.2,191.5,R33.8,38.9,R8.1,R6.5,-0.3,20.7
,Average,119.6,R7.7,18.8,3242,L1.8,3185,L118,31.4,184.1,192.9,R19.4,42.3,R10.1,R7.2,1.5,24.8
,Deviation,3.1,3.2,2.1,435,10.4,415,609.0,4.6,12.1,10.5,20.8,3.0,2.4,4.1,0.9,2.6
5 Iron,0,124.8,R3.6,18.8,4054,L7.7,4017,L546,35.9,190.8,196.7,L1.2,45.6,R7.4,R2.6,-1.0,25.6
5 Iron,1,124.9,R6.7,19.4,4613,R7.4,4575,R591,37.9,188.0,192.3,R31.7,47.4,R6.6,R6.9,-0.8,26.4
5 Iron,2,122.3,R2.5,16.2,2418,L11.8,2367,L495,26.2,192.7,206.2,L6.8,37.2,R13.9,L0.4,-0.5,22.0
5 Iron,3,112.1,R7.1,20.2,2756,R4.0,2750,R190,29.1,173.1,183.1,R23.9,41.4,R7.3,R7.4,0.9,26.8
5 Iron,4,124.9,R2.5,18.5,4158,L0.1,4158,L10,35.7,190.9,196.5,R7.2,45.6,R6.0,R1.6,-1.8,25.4
5 Iron,5,111.6,R2.5,15.2,3406,R7.7,3375,R456,21.2,163.4,175.9,R14.6,35.6,R3.7,R3.0,-2.4,21.1
5 Iron,6,117.4,R6.6,18.9,3406,R13.7,3309,R807,30.1,178.8,187.3,R36.0,42.3,R6.0,R6.7,-0.2,25.4
5 Iron,7,121.6,R6.6,19.9,3945,R8.6,3900,R589,35.7,185.2,191.0,R32.1,45.8,R4.7,R7.1,-1.1,27.1
5 Iron,8,116.3,R4.0,14.6,4263,R11.6,4176,R856,23.2,169.8,180.0,R24.6,37.8,R4.9,R4.5,0.0,19.8
5 Iron,9,122.9,R2.3,18.4,3117,L1.0,3116,L53,33.0,193.4,202.0,R5.6,42.9,R6.6,R1.2,-0.3,24.9
5 Iron,10,122.9,R2.5,18.8,4413,L14.3,4276,L1092,34.4,184.4,189.9,L14.0,45.5,R8.9,R0.9,0.2,25.3
