Dates,03-18-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
G-Wedge,0,64.0,R9.5,22.8,5895,R3.6,5883,R374,9.5,67.3,73.8,R11.1,33.6,R9.7,R10.0,-4.4,31.0
G-Wedge,1,61.3,R5.6,25.9,6338,R2.2,6333,R241,10.4,64.2,68.6,R6.3,36.8,R7.3,R5.9,-5.7,35.2
G-Wedge,2,61.5,R5.8,27.2,6847,R4.5,6825,R541,11.4,65.3,68.6,R7.2,38.7,R4.3,R6.1,-3.9,36.4
G-Wedge,3,63.0,R3.3,24.2,6791,L7.4,6734,L877,10.1,66.3,71.1,R1.5,35.2,R7.7,R2.2,-5.4,33.0
G-Wedge,4,58.5,R7.4,26.1,7067,R7.3,7009,R899,9.5,59.1,63.1,R8.6,36.0,R7.2,R7.5,-4.6,35.1
G-Wedge,5,51.4,R5.1,25.8,6228,R5.4,6200,R582,6.9,46.2,51.4,R4.5,33.2,R4.1,R5.4,-5.5,34.9
G-Wedge,6,61.4,R3.5,26.1,6116,L4.2,6100,L447,10.5,64.3,69.1,R2.6,36.8,R5.4,R3.1,-5.2,35.3
G-Wedge,7,62.2,R6.7,26.3,6373,R6.4,6334,R707,11.0,66.1,70.3,R8.7,37.6,R5.9,R6.9,-4.6,35.5
G-Wedge,8,53.6,R0.1,26.5,5995,R6.9,5951,R724,7.9,50.3,55.3,R1.2,34.8,R0.1,R0.5,-5.1,35.7
G-Wedge,9,54.7,R3.2,27.7,5371,R4.0,5358,R374,8.8,52.7,57.8,R3.4,36.5,R7.0,R3.0,-3.4,36.9
G-Wedge,10,47.9,R0.3,20.0,5738,R5.8,5709,R582,3.8,35.8,44.6,R0.6,24.8,L1.4,R0.7,-6.3,27.7
G-Wedge,11,46.1,R0.1,26.6,4875,L1.0,4875,L84,5.5,37.3,43.3,R0.0,32.4,R1.1,L0.1,-4.9,35.7
G-Wedge,12,54.1,R2.1,26.4,5282,R5.4,5259,R497,7.9,51.0,56.8,R2.5,34.7,R0.8,R2.4,-5.1,35.6
G-Wedge,13,51.6,R4.0,25.2,5751,R1.3,5750,R132,6.6,46.1,51.9,R3.1,32.5,R4.8,R4.5,-6.0,34.2
G-Wedge,14,50.1,R6.5,26.1,5753,R6.4,5717,R639,6.6,44.1,49.5,R5.3,33.3,R4.5,R6.9,-4.6,35.1
G-Wedge,15,36.1,R2.3,23.8,4200,0.0,4200,0,2.7,22.0,28.7,R0.8,26.6,R3.5,R2.0,-4.9,32.0
G-Wedge,16,40.7,R1.3,21.9,4608,L0.1,4608,L10,3.0,26.6,34.7,R0.6,25.2,R1.7,R1.2,-5.9,29.9
